,request_id,id_encid,search_latitude,search_longitude
44,y_D14A428E-73C4-4EE9-81F0-F8078BC827E6_1532193770.81,-c5wzbi8rd8gpplyTZUgIw,40.753292,-73.996579
45,y_9AB20E94-A199-4991-A554-2FD57D4F8047_1532543695.22,vIjoF-Aos6dRyF1eV4kkpw,40.74957,-73.995295
46,y_FC276A58-BEB8-49BA-AAEB-004B019B6538_1532289339.22,Gkm-ntQrMB42zrj_gTB3Yw,40.713,-74.0072
47,y_D14A428E-73C4-4EE9-81F0-F8078BC827E6_1532193770.81,-c5wzbi8rd8gpplyTZUgIw,40.753299,-73.996997
48,y_9AB20E94-A199-4991-A554-2FD57D4F8047_1532543695.22,vIjoF-Aos6dRyF1eV4kkpw,40.749405,-73.995596
49,y_2dc3873b-366c-4a37-9844-f1433a8a242a_1531942908.29,WPykmkMYWvXNdvCS2kDbkA,40.7614046,-73.9850231
50,y_2dc3873b-366c-4a37-9844-f1433a8a242a_1531942908.29,WPykmkMYWvXNdvCS2kDbkA,40.7604018,-73.9852413
51,y_db961b77-4164-4800-9502-78839b025f28_1532391974.48,-c5wzbi8rd8gpplyTZUgIw,40.7490774,-73.9862828
52,y_474BF94F-7821-4D8D-9B72-EE1A0AA844C1_1532008717.98,eVO2IAulnBY4Awk893T2CQ,40.7540865,-73.934019
53,y_D9727D1B-0A7A-4F79-8714-2A8EE041E4CF_1532299649.83,OMuLqxyK7W1DBg_3MlmYvg,40.857199,-73.974319
54,y_ba223a9b-ab7f-4cd6-a2dc-28b7b0e157ba_1532442950.41,yNDY2nPrmXR0bfUAsIngxA,40.7259329,-74.0006229
55,y_F95C7BFF-6BE3-48B2-A00F-4C01488DD931_1532106760.24,SHGSMv63CvBpoXEQHtfstQ,40.789125,-73.953997
56,y_474BF94F-7821-4D8D-9B72-EE1A0AA844C1_1532006124.03,mNHFVco3KOtQ4ytlje3ekg,40.866979,-74.004917
57,y_2dc3873b-366c-4a37-9844-f1433a8a242a_1531942908.29,WPykmkMYWvXNdvCS2kDbkA,40.7606595,-73.9846471
58,y_474BF94F-7821-4D8D-9B72-EE1A0AA844C1_1532006124.03,mNHFVco3KOtQ4ytlje3ekg,40.837367,-74.019028
59,y_db961b77-4164-4800-9502-78839b025f28_1532391974.48,-c5wzbi8rd8gpplyTZUgIw,40.7557379,-73.9943266
60,y_D797D7CF-831B-4FAB-B560-B33ECCB0D417_1532191740.81,SHGSMv63CvBpoXEQHtfstQ,40.78595,-73.951929
61,y_474BF94F-7821-4D8D-9B72-EE1A0AA844C1_1532006124.03,9ZHWNeyuUvlMKfHWbZOPjw,40.866979,-74.004917
62,y_D797D7CF-831B-4FAB-B560-B33ECCB0D417_1532191740.81,SHGSMv63CvBpoXEQHtfstQ,40.788068,-73.950632
63,y_ba223a9b-ab7f-4cd6-a2dc-28b7b0e157ba_1532442950.41,yNDY2nPrmXR0bfUAsIngxA,40.7259511,-74.0006313
64,y_D797D7CF-831B-4FAB-B560-B33ECCB0D417_1532191740.81,SHGSMv63CvBpoXEQHtfstQ,40.76035688125,-73.97850438
65,y_D797D7CF-831B-4FAB-B560-B33ECCB0D417_1532191740.81,SHGSMv63CvBpoXEQHtfstQ,40.785988,-73.951957
66,y_ba223a9b-ab7f-4cd6-a2dc-28b7b0e157ba_1532442950.41,yNDY2nPrmXR0bfUAsIngxA,40.7259343,-74.0006273
67,y_4C3BFDC6-8B58-4A6D-B4E9-D5C3D7DB4081_1532287705.91,4FQd8e5-MSboS3rNIPegDg,40.805369,-73.9661085
68,y_9049253f-87f0-4298-92bd-246912c8daad_1532231323.5,mNHFVco3KOtQ4ytlje3ekg,40.8445179,-74.0078055
69,y_db961b77-4164-4800-9502-78839b025f28_1532391974.48,-c5wzbi8rd8gpplyTZUgIw,40.7479234,-74.0040494
70,y_D797D7CF-831B-4FAB-B560-B33ECCB0D417_1532191740.81,SHGSMv63CvBpoXEQHtfstQ,40.78518,-73.951862
71,y_4B3FC845-D14B-4E23-A275-1D105932B0C3_1532288088.0,7BPuu7pqUws7D2BGAmK2DA,40.713,-74.0072
72,y_ba223a9b-ab7f-4cd6-a2dc-28b7b0e157ba_1532442950.41,yNDY2nPrmXR0bfUAsIngxA,40.7259205,-74.0006165
73,y_D797D7CF-831B-4FAB-B560-B33ECCB0D417_1532191740.81,SHGSMv63CvBpoXEQHtfstQ,40.787369,-73.950755
74,y_DD08971B-6593-4F2E-8E4A-9EDCD1505235_1532373412.27,OcFTc4WuaiZvpTWYQKYpXw,40.866359,-74.025071
75,y_474BF94F-7821-4D8D-9B72-EE1A0AA844C1_1532006124.03,n0BqkHnpnb1BPaBTYZnaTA,40.866979,-74.004917
76,y_D9727D1B-0A7A-4F79-8714-2A8EE041E4CF_1532299649.83,OMuLqxyK7W1DBg_3MlmYvg,40.846607,-73.9717145
77,y_9B2D4840-08A0-44E2-9397-EB7E7676BA00_1532545563.77,OMuLqxyK7W1DBg_3MlmYvg,40.85612,-73.981441
78,y_F4B2C8B2-46DD-42A7-BA48-B8873FBD1BAD_1532042266.24,-c5wzbi8rd8gpplyTZUgIw,40.756861,-73.985928
79,y_52A5B15B-D4C0-4E21-9B00-AAF5C91C9465_1532035812.85,WPykmkMYWvXNdvCS2kDbkA,40.750625,-73.990848
80,y_ba223a9b-ab7f-4cd6-a2dc-28b7b0e157ba_1532442950.41,yNDY2nPrmXR0bfUAsIngxA,40.725932,-74.0006234
81,y_F95C7BFF-6BE3-48B2-A00F-4C01488DD931_1532106760.24,SHGSMv63CvBpoXEQHtfstQ,40.789373,-73.953448
82,y_D797D7CF-831B-4FAB-B560-B33ECCB0D417_1532191740.81,SHGSMv63CvBpoXEQHtfstQ,40.788542,-73.950603
83,y_A2EC5D45-29F2-4BD5-B553-C76EE715040B_1532273686.62,-c5wzbi8rd8gpplyTZUgIw,40.754632,-73.994265
84,y_FC276A58-BEB8-49BA-AAEB-004B019B6538_1532289339.22,Gkm-ntQrMB42zrj_gTB3Yw,40.7357175,-73.990805
85,y_D797D7CF-831B-4FAB-B560-B33ECCB0D417_1532191740.81,SHGSMv63CvBpoXEQHtfstQ,40.746085,-73.981197
86,y_D797D7CF-831B-4FAB-B560-B33ECCB0D417_1532191740.81,SHGSMv63CvBpoXEQHtfstQ,40.786913,-73.951119
87,y_5980A217-6E60-4612-AA15-340F43CA5DFA_1531974292.74,NqOmAGGEed-W4eXWlMd0Bw,40.713,-74.0072
88,y_90CF2C25-6C0C-46C2-AB09-E1365FAC65AD_1532307988.57,OcFTc4WuaiZvpTWYQKYpXw,40.773395,-74.024653
89,y_F4B2C8B2-46DD-42A7-BA48-B8873FBD1BAD_1532042266.24,-c5wzbi8rd8gpplyTZUgIw,40.756578,-73.985933
90,y_19E769BD-CF38-40F6-ADC1-3CD91821BD0D_1532308157.26,yNDY2nPrmXR0bfUAsIngxA,40.713,-74.0072
91,y_4C3BFDC6-8B58-4A6D-B4E9-D5C3D7DB4081_1532287705.91,4FQd8e5-MSboS3rNIPegDg,40.7830603,-73.9712488
92,y_2dc3873b-366c-4a37-9844-f1433a8a242a_1531942908.29,WPykmkMYWvXNdvCS2kDbkA,40.7477245,-73.9479126
93,y_D797D7CF-831B-4FAB-B560-B33ECCB0D417_1532191740.81,SHGSMv63CvBpoXEQHtfstQ,40.787197,-73.951019
94,y_ba223a9b-ab7f-4cd6-a2dc-28b7b0e157ba_1532442950.41,yNDY2nPrmXR0bfUAsIngxA,40.7259328,-74.000622
95,y_2D26DEAA-1D6B-4EA8-90AC-0789C829E243_1532126208.68,oHNzBzA7BpJUveIFdfqS8Q,40.818652,-73.93865
96,y_D797D7CF-831B-4FAB-B560-B33ECCB0D417_1532191740.81,SHGSMv63CvBpoXEQHtfstQ,40.78607,-73.951533
97,y_90CF2C25-6C0C-46C2-AB09-E1365FAC65AD_1532307988.57,OcFTc4WuaiZvpTWYQKYpXw,40.773537,-74.024906
98,y_9AB20E94-A199-4991-A554-2FD57D4F8047_1532543695.22,vIjoF-Aos6dRyF1eV4kkpw,40.7536854,-73.9991637
