,session_id,latitude,longitude,title
0,y_FDA0992B-DAE2-427F-919B-D7BE58053225_1532472916.56,33.654295,-84.397334,Fast Food
1,y_8E504B50-0904-4D7D-8A94-C38925A36A5D_1532222686.19,33.850946,-84.379138,Fast Food
2,y_21477DF5-99E1-4F01-AC3F-0FDCDF0D1C88_1532104860.9,33.851924,-84.482923,Fast Food
3,y_079EEF60-BB01-4DF5-BE28-BD8ACBCF0EB9_1532210473.1,33.863189,-84.478188,Fast Food
4,y_34FB9B66-BA73-491F-897D-76725778EA7A_1532305138.31,33.7479667287065,-84.3826679371094,Fast Food
5,y_3F33D488-11B8-4CB5-8E66-992707E3407F_1532188495.67,33.67434425,-84.463276,Fast Food
6,y_37993BF9-3B56-4A4D-97EE-248513F14F74_1532399460.04,33.730198,-84.345824,Fast Food
7,FB4776BE5879793A_1532014841.2,33.7479667287065,-84.3826679371094,Fast Food
8,y_63D9E762-E524-4114-A5FB-90500D499A46_1532282820.59,33.761441,-84.384978,Fast Food
9,y_B2B05149-67ED-4781-A2A8-F3CEE0FB9C01_1532286203.74,33.840366,-84.381383,Fast Food
10,y_D4D203D2-7755-4E7F-83A5-A279622E1C72_1532569113.76,33.8458107267357,-84.3916147600411,Fast Food
11,y_FFC2D2D8-4898-447D-AD27-32C87BEDEB5D_1531874067.08,33.833158,-84.342708,Fast Food
12,y_5B348866-FD95-4A4E-A9CC-6D543BB17CB7_1532017839.79,33.778475,-84.383845,Fast Food
13,y_380C09B2-1169-46DC-B7E7-3EEA9AF36679_1532156909.89,33.859321,-84.516311,Fast Food
14,y_76C032AD-0F8C-4993-B411-20A3CA6B46F4_1532297275.77,33.771322,-84.292935,Fast Food
15,y_E4246426-EB71-45C6-9D36-B105849A12F9_1532018628.42,33.8676889,-84.4645184,Fast Food
16,y_BB684730-42EF-41F1-9345-725E65117CE7_1531966367.4,33.831946,-84.3832765,Fast Food
17,y_6FE7E52E-718D-4712-A591-FEEB3A5D5577_1532107117.39,33.831958,-84.335727,Fast Food
18,y_BF7996FF-6713-496F-ABF3-67BBCA3B9C48_1532449512.21,33.707397,-84.4313925,Fast Food
19,y_F053BD2D-372A-4E26-9964-3BC30C5905DD_1532456632.13,33.876265,-84.482327,Fast Food
20,y_B3D61453-EA4A-45DD-BFB2-94D725339E33_1532039197.61,33.640881,-84.439266,Fast Food
21,y_B3D61453-EA4A-45DD-BFB2-94D725339E33_1532039197.61,33.6407282,-84.4277001,Fast Food
22,y_85B215DF-060F-4316-9164-9980E0249B82_1532229125.62,33.839953,-84.38177,Fast Food
23,y_75C908ED-9C9E-40B1-8399-9D7605694086_1532225647.79,33.822071,-84.371365,Fast Food
24,y_45F39F17-DE7D-4A47-BD82-B4A8968ED312_1532369743.37,33.837762,-84.380851,Fast Food
25,y_DC222DB6-116D-432B-B700-4C095A16452E_1532282485.29,33.847557,-84.366413,Fast Food
26,y_3d139c9b-df54-45e3-830c-7cb6550e0ede_1532261722.51,33.7479667287065,-84.3826679371094,Fast Food
27,y_C949E791-25CF-4C7C-9D02-10C07A7E2E71_1532212744.57,33.780672,-84.383948,Fast Food
28,y_4823fee6-c6e6-498e-a633-13c93e4a2a40_1532043787.5,33.8510935,-84.3833961,Fast Food
