,session_id,latitude,longitude,title
0,y_8AE00F83-ECA4-4753-9A34-3F9FA08205B3_1532140910.16,25.732004,-80.3183765,Fast Food
1,y_1b180402-a733-435d-983b-00d6b779fd82_1532487560.74,25.7664536,-80.193025,Fast Food
2,y_fc9423a1-dbeb-45ef-9960-78cd4beaa7fa_1532195465.67,25.678141670607,-80.2606586316738,Fast Food
3,y_42C34E96-B41B-4ABC-B872-2C2C81148611_1532451162.33,25.761848,-80.3149655,Fast Food
4,y_E2DD8464-8220-4E18-8012-8BE207469DDE_1531931544.89,25.773536,-80.191508,Fast Food
5,y_8BB7D9DF-BF54-4D88-B3BF-6F16B9FB96F5_1532297082.64,25.843732,-80.183691,Fast Food
6,y_FB51245F-9EC1-425E-9EF1-0427F9A6A8E9_1532102549.63,25.8231920627003,-80.3336651181397,Fast Food
7,AF3981925CAA230B_1531891065.45,25.7527812645707,-80.2880859375,Fast Food
8,y_96FCC765-DB91-48D7-BB28-81A873B3D12D_1532107981.04,25.798842,-80.273035,Fast Food
9,y_535efe18-a192-4399-b81c-8508c23345e2_1532150174.52,25.8033328,-80.3364892,Fast Food
10,y_f6d6f6ff-11fb-415b-826c-debe97212f9b_1532238263.5,25.8043352,-80.335798,Fast Food
11,4EB8B65B1D4EDA46_1532145264.72,25.7618474428857,-80.1917359333984,Fast Food
12,y_75CE23F0-0270-45C7-AA06-15EB69782035_1532380665.55,25.798618,-80.337427,Fast Food
13,y_F2A3ED0B-7B58-43F1-9228-1BAF076985B4_1532005678.91,25.769962,-80.134884,Fast Food
14,y_DA9DC853-A02E-427C-A897-B09FF31B9DB4_1532111343.95,25.7658985,-80.194706,Fast Food
15,y_7e7ce7bc-7e2d-4413-9691-4532a5a4f3b8_1532099942.68,25.7913235568962,-80.1325785769836,Fast Food
16,y_0DFDDC5A-9B34-4A53-8B7D-D0BCE2D22122_1532179247.93,25.79719,-80.131135,Fast Food
17,y_29C34054-D2A6-4144-A34C-E12B4ECEA8FE_1532191490.28,25.788675,-80.128793,Fast Food
18,y_194C4E12-5804-4526-85FE-1FDA0B5F2A11_1532273942.65,25.7695785,-80.135912,Fast Food
19,y_0E84BC37-6C5D-4FE2-9D8A-D6D7B122953B_1532346655.09,25.770113,-80.134929,Fast Food
20,y_AD822BE4-2EEF-45F8-945D-7DF5B1179887_1532362385.69,25.778873,-80.142374,Fast Food
21,y_896D6E0A-DB44-4E31-9830-A2EEFA489D3B_1532553436.53,25.765681,-80.132989,Fast Food
22,92CD54F009270FEE_1532551843.31,25.7805703863248,-80.1922130584717,Fast Food
23,y_F707974E-CBC1-45EE-AE61-2E513EF9624F_1532554303.97,25.785393,-80.234663,Fast Food
24,y_993d701d-db3b-4599-bded-17197c9c7154_1531940567.09,25.8057714,-80.2633947,Fast Food
25,y_ABCABAAE-EDC1-441C-90F9-9F039617BFDC_1532337279.71,25.79741,-80.134542,Fast Food
26,y_ABCABAAE-EDC1-441C-90F9-9F039617BFDC_1532337279.71,25.8881495,-80.1299025,Fast Food
27,y_00199803-C7D7-47BC-957B-50AE633AE04D_1532103847.13,25.699974,-80.359131,Fast Food
28,y_7FC11585-E53C-460C-9AD4-BBB060BFDCF6_1532585698.68,25.6905453,-80.3124946,Fast Food
29,y_F9CC675A-2E0C-4992-ABC2-196A5A3377A6_1531961395.64,25.805585,-80.263439,Fast Food
30,y_A72C1461-C154-4E72-82B1-2E6ED6D2E794_1532171597.44,25.6894205,-80.3059885,Fast Food
31,y_B25D72D1-F0DF-4C38-A3B7-EF280C78D004_1532316956.11,25.684267,-80.311694,Fast Food
32,y_B25D72D1-F0DF-4C38-A3B7-EF280C78D004_1532316956.11,25.692773,-80.303753,Fast Food
33,y_F0F020BC-9FA8-4D46-8E90-5F9BE6717ED3_1531969493.48,25.805623,-80.124618,Fast Food
34,y_DA6AFF3C-15ED-4775-A072-0FEBE782E3F6_1532201067.75,25.796141,-80.130084,Fast Food
35,y_22EF05E8-0596-494F-B00F-B4A27FD8B97C_1532188468.46,25.6769115,-80.176455,Fast Food
36,y_459E718A-8BF4-4A24-9662-E99192196CFC_1532212017.29,25.785894,-80.130147,Fast Food
37,y_E8DF4F53-9D5A-4EDF-A279-221A1320029D_1532378488.62,25.8163755,-80.120736,Fast Food
38,y_E5242444-DA7D-407C-AB9A-CA0072CD8B6E_1532374908.86,25.786805,-80.129532,Fast Food
39,y_20151754-B38D-43AE-9438-77D292170980_1532379712.09,25.794449,-80.12837,Fast Food
40,y_20151754-B38D-43AE-9438-77D292170980_1532379712.09,25.794371,-80.128425,Fast Food
41,y_9595E976-4A1B-4D33-B200-E124F50DAC8A_1531887390.72,25.790711,-80.239836,Fast Food
